epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,532.621,0.84195,0.58713,0.86935,0.91735,0.54412,0.7013,0.38415,1.57908,1.97259,1.22538,0.000423751,0.000423751,0.000423751
115,536.492,0.81379,0.55627,0.85136,0.94864,0.54326,0.69811,0.38318,1.56268,1.97949,1.21264,0.000412749,0.000412749,0.000412749
116,541.861,0.77889,0.54944,0.82867,0.94045,0.52941,0.67725,0.38574,1.58106,1.95219,1.22707,0.000401747,0.000401747,0.000401747
117,545.859,0.78799,0.52755,0.85288,0.89808,0.57353,0.69737,0.39054,1.55111,1.95835,1.21419,0.000390745,0.000390745,0.000390745
118,549.845,0.77307,0.54478,0.82834,0.93015,0.61765,0.69035,0.39058,1.57521,2.00655,1.21451,0.000379743,0.000379743,0.000379743
119,554.721,0.78216,0.55203,0.85294,0.93288,0.61322,0.69274,0.38049,1.57035,2.08081,1.21751,0.00036874,0.00036874,0.00036874
120,558.999,0.78692,0.55989,0.85264,0.8906,0.60294,0.68913,0.38662,1.54187,2.08525,1.21036,0.000357738,0.000357738,0.000357738
121,563.088,0.78986,0.53274,0.84499,0.90296,0.60294,0.69855,0.3951,1.5448,2.06342,1.21884,0.000346736,0.000346736,0.000346736
122,568.091,0.77202,0.53371,0.84201,0.86924,0.63235,0.70219,0.3966,1.5171,1.94961,1.18983,0.000335734,0.000335734,0.000335734
123,572.611,0.83889,0.58246,0.85728,0.89494,0.63235,0.70807,0.40691,1.53002,1.94031,1.17869,0.000324732,0.000324732,0.000324732
124,576.786,0.75536,0.51958,0.84908,0.86612,0.61765,0.70014,0.39842,1.52672,1.96628,1.1699,0.000313729,0.000313729,0.000313729
125,581.151,0.78693,0.52519,0.84472,0.80025,0.6481,0.69296,0.39656,1.50117,1.96311,1.16426,0.000302727,0.000302727,0.000302727
126,586.172,0.75719,0.55395,0.8491,0.79633,0.6325,0.69028,0.403,1.48761,1.84316,1.15093,0.000291725,0.000291725,0.000291725
127,590.386,0.73551,0.55159,0.84916,0.82931,0.63235,0.69573,0.40418,1.49964,1.82729,1.15973,0.000280723,0.000280723,0.000280723
128,595.039,0.78947,0.52193,0.84237,0.84271,0.63034,0.70982,0.40511,1.50622,1.81634,1.16824,0.000269721,0.000269721,0.000269721
129,600.183,0.73013,0.49511,0.84179,0.85781,0.62107,0.70949,0.40291,1.50678,1.85922,1.15821,0.000258718,0.000258718,0.000258718
